id,issue_id,trigger,target, consequences
231,12894489,Rejection,Company/organization,['Escalating further']
232,1104666990,Technical disagreement,Code/tool,"['Escalating further', 'Discontinued further discussion']"
233,1291899006,Technical disagreement,Company/organization,"['Escalating further', 'Provided technical explanation', 'Trying to stop the incivility']"
234,904754673,Technical disagreement,People,"['Discontinued further discussion', 'Provided technical explanation']"
235,843213515,Technical disagreement,People,"['Escalating further', 'Provided technical explanation', 'Discontinued further discussion']"
236,1476730615,Failed use of tool/code or error messages,Code/tool,['Invoke Code of Conduct']
237,1212965768,None,None,['None']
238,1449702890,Past interactions,People,['Escalating further']
239,340599374,None,None,['None']
240,421471669,Technical disagreement,People,"['Trying to stop the incivility', 'Discontinued further discussion']"
241,1400909737,None,None,['Discontinued further discussion']
242,1406636959,None,None,['None']
243,40896758,Politics/ideology,People,"['Escalating further', 'Accepting criticism', 'Trying to stop the incivility', 'Discontinued further discussion']"
244,47049745,Failed use of tool/code or error messages,People,['Provided technical explanation']
245,60472468,Failed use of tool/code or error messages,Code/tool,"['None', 'Discontinued further discussion']"
246,102234932,Failed use of tool/code or error messages,Code/tool,"['None', 'Discontinued further discussion']"
247,120669472,Past interactions,People,['Invoke Code of Conduct']
248,124545273,Technical disagreement,People,['None']
249,235832393,Communication breakdown,Code/tool,['None']
250,249811390,None,None,['None']
251,286791320,None,None,['None']
252,298311894,Communication breakdown,People,['None']
253,305129827,None,None,['None']
254,305814776,None,None,['None']
255,312953330,Past interactions,People,['None']
256,315577064,None,None,['None']
257,315863357,Past interactions,People,"['Discontinued further discussion', 'Escalating further']"
258,326712539,Communication breakdown,Undirected,['Discontinued further discussion']
259,332965663,Communication breakdown,People,"['Escalating further', 'Trying to stop the incivility', 'Discontinued further discussion']"
260,347951340,Rejection,None,['Discontinued further discussion']
261,349736129,None,Code/tool,['None']
262,352750519,Politics/ideology,Undirected,['Accepting criticism']
263,356609376,Communication breakdown,People,"['Discontinued further discussion', 'Trying to stop the incivility']"
264,364146679,Past interactions,People,"['Discontinued further discussion', 'Invoke Code of Conduct']"
265,369840190,Technical disagreement,Code/tool,"['Invoke Code of Conduct', 'Discontinued further discussion']"
266,327130542,None,None,['None']
267,372256539,Failed use of tool/code or error messages,Code/tool,['Discontinued further discussion']
268,372725525,None,None,['None']
269,370963615,Communication breakdown,Company/organization,"['Accepting criticism', 'Trying to stop the incivility', 'Discontinued further discussion']"
270,382791162,None,None,['None']
271,376348803,Failed use of tool/code or error messages,None,['None']
272,397129620,None,None,['None']
273,397487623,None,None,['None']
274,393681341,None,None,['None']
275,397574283,Failed use of tool/code or error messages,Company/organization,['None']
276,398264957,Communication breakdown,People,['Discontinued further discussion']
277,409028181,Past interactions,People,"['Invoke Code of Conduct', 'Discontinued further discussion', 'Trying to stop the incivility']"
278,432631890,Technical disagreement,Code/tool,"['Escalating further', 'Discontinued further discussion']"
279,435537996,Communication breakdown,People,"['Escalating further', 'Discontinued further discussion']"
280,407645854,None,None,['None']
281,458249013,None,None,['None']
282,457082435,None,None,['None']
283,483768936,Failed use of tool/code or error messages,People,['Discontinued further discussion']
284,503273161,Rejection,People,"['Escalating further', 'Discontinued further discussion']"
285,503598709,Technical disagreement,Company/organization,['Discontinued further discussion']
286,483355054,Failed use of tool/code or error messages,Code/tool,['Invoke Code of Conduct']
287,119063763,Technical disagreement,Code/tool,['None']
288,510675125,Technical disagreement,People,['None']
289,522727008,Technical disagreement,Code/tool,"['Escalating further', 'Discontinued further discussion']"
290,530232265,Technical disagreement,Code/tool,"['Escalating further', 'Provided technical explanation', 'Discontinued further discussion']"
291,530975624,Technical disagreement,People,"['Escalating further', 'Discontinued further discussion']"
292,534580474,Unprovoked,People,"['Invoke Code of Conduct', 'Trying to stop the incivility', 'Discontinued further discussion']"
293,544017763,Failed use of tool/code or error messages,Code/tool,['None']
294,544279140,None,None,['None']
295,544542483,None,None,['None']
296,554355383,None,None,['None']
297,525140367,None,None,['None']
298,565358712,Past interactions,People,"['Escalating further', 'None']"
299,569895996,Communication breakdown,People,['None']
300,574196668,Technical disagreement,People,['Trying to stop the incivility']
301,577744765,None,None,['None']
302,608513361,None,None,['None']
303,610982272,Communication breakdown,People,['None']
304,613337048,Technical disagreement,People,['Discontinued further discussion']
305,618265614,Failed use of tool/code or error messages,Code/tool,['Discontinued further discussion']
306,619762251,Communication breakdown,People,['Trying to stop the incivility']
307,620694982,Communication breakdown,None,['Discontinued further discussion']
308,631364219,Technical disagreement,Undirected,['None']
309,636440138,None,None,['None']
310,638768339,Communication breakdown,People,"['Escalating further', 'Invoke Code of Conduct']"
311,639051823,None,None,['None']
312,652371218,Communication breakdown,People,['Discontinued further discussion']
313,657523246,Communication breakdown,People,['Invoke Code of Conduct']
314,669419291,Failed use of tool/code or error messages,Company/organization,['None']
315,722281859,Failed use of tool/code or error messages,Code/tool,['Provided technical explanation']
316,727127817,Communication breakdown,People,['Escalating further']
317,747855745,None,None,['None']
318,761569005,Failed use of tool/code or error messages,Company/organization,['Provided technical explanation']
319,765312275,None,None,['None']
320,774501385,None,People,['None']
321,795394794,None,Code/tool,['Provided technical explanation']
322,795993177,Communication breakdown,People,['Trying to stop the incivility']
323,814421264,Communication breakdown,People,['None']
324,814840135,None,None,['None']
325,851350444,Past interactions,People,['None']
326,857092857,None,None,['None']
327,896726233,Technical disagreement,People,['Trying to stop the incivility']
328,902425731,Technical disagreement,People,"['Escalating further', 'Invoke Code of Conduct']"
329,908088395,Communication breakdown,None,['Discontinued further discussion']
330,985432324,None,None,['None']
331,985447779,None,None,['None']
332,1004915962,None,None,['None']
333,1013314736,None,None,['None']
334,1026512862,None,None,['Invoke Code of Conduct']
335,1043368759,None,None,['None']
336,1047632192,None,None,['None']
337,1058585621,None,None,['None']
338,1060667929,None,None,['None']
339,1072125460,None,None,['None']
340,1075227076,None,None,['None']
341,786108116,Failed use of tool/code or error messages,Company/organization,"['Escalating further', 'Trying to stop the incivility']"
342,1075975020,None,None,['None']
343,1077325481,None,None,['None']
344,1087047886,None,None,['None']
345,1089763044,Communication breakdown,People,['Invoke Code of Conduct']
346,1665591134,Failed use of tool/code or error messages,People,"['Discontinued further discussion', 'Trying to stop the incivility']"
347,1096297382,Technical disagreement,Code/tool,['Discontinued further discussion']
348,1097100861,Unprovoked,Code/tool,['None']
349,1100051808,Technical disagreement,People,"['Accepting criticism', 'Trying to stop the incivility', 'Invoke Code of Conduct', 'Provided technical explanation']"
350,1110181012,Unprovoked,People,['Discontinued further discussion']
351,1127749209,None,None,['None']
352,1090475055,None,None,['None']
353,1134552993,Failed use of tool/code or error messages,People,['Provided technical explanation']
354,1137624289,None,None,['None']
355,1149608900,None,None,['None']
356,1153731840,None,None,['None']
357,1128211306,Technical disagreement,Company/organization,"['Invoke Code of Conduct', 'Provided technical explanation']"
358,1165209319,Politics/ideology,People,"['Discontinued further discussion', 'Accepting criticism']"
359,1165300669,Politics/ideology,People,['None']
360,1166060886,Politics/ideology,Undirected,['Discontinued further discussion']
361,1166956712,Politics/ideology,People,['Escalating further']
362,1170768726,Past interactions,Company/organization,"['Invoke Code of Conduct', 'Discontinued further discussion', 'Trying to stop the incivility']"
363,1173784895,None,None,['None']
364,1174122161,Politics/ideology,People,['None']
365,1181103738,Unprovoked,People,['None']
366,1183333507,None,None,['None']
367,1156931157,None,None,['None']
368,1186681963,Failed use of tool/code or error messages,Code/tool,['Discontinued further discussion']
369,1201901612,None,None,['None']
370,1201906086,Technical disagreement,People,['Accepting criticism']
371,1190943329,None,None,['None']
372,1208013839,Communication breakdown,People,['Accepting criticism']
373,1204776791,Technical disagreement,Undirected,['None']
374,1227174892,Technical disagreement,People,"['Escalating further', 'Discontinued further discussion']"
375,1239779668,Failed use of tool/code or error messages,Code/tool,['Discontinued further discussion']
376,1251713538,Politics/ideology,People,['Escalating further']
377,1268409097,Unprovoked,People,['Escalating further']
378,1283290082,Violation of community conventions,People,['Escalating further']
379,1285334524,None,None,['None']
380,1299391458,Unprovoked,People,['Escalating further']
381,1301011966,Communication breakdown,People,['Trying to stop the incivility']
382,2044991737,None,None,['None']
383,1302976360,Failed use of tool/code or error messages,Company/organization,['Discontinued further discussion']
384,1307091650,Politics/ideology,People,['Discontinued further discussion']
385,1211570918,Failed use of tool/code or error messages,People,['Discontinued further discussion']
386,1317881905,None,None,['None']
387,1335276663,Communication breakdown,People,['None']
388,1335371535,Technical disagreement,People,['Escalating further']
389,1352488799,Failed use of tool/code or error messages,People,['Provided technical explanation']
390,1353459869,Politics/ideology,People,"['Provided technical explanation', 'Trying to stop the incivility']"
391,1367665070,None,None,['None']
392,1369100843,Communication breakdown,People,['Discontinued further discussion']
393,1388421768,None,None,['None']
394,1391469768,None,None,['None']
395,1396213107,None,None,['None']
396,1396696603,None,None,['None']
397,1402211429,None,None,['None']
398,1402253291,Failed use of tool/code or error messages,People,['None']
399,2044991710,None,None,['None']
400,1418948680,Failed use of tool/code or error messages,People,"['Escalating further', 'Provided technical explanation']"
401,2044991706,Failed use of tool/code or error messages,People,['None']
402,1444401730,Failed use of tool/code or error messages,People,['Provided technical explanation']
403,1458781974,Communication breakdown,Undirected,['None']
404,1473837925,None,None,['None']
405,1498285225,None,None,['None']
